f.acctid,f.acctname,f.potential_fraud_fl,fraud_alert_dt,f.incr_in_credit_card_spent,f.avg_monthly_creditcard_spent,f.daily_credit_card_transaction_amt,f.daily_credit_card_transaction_ct
ACCT6297,Maya Sherman,Y,3/29/2019,3596.0,1,3596,2
ACCT6297,Maya Sherman,Y,5/23/2019,3261.0,1,3261,2
ACCT6297,Maya Sherman,Y,6/24/2019,2568.0,1,2568,1
ACCT6297,Maya Sherman,Y,8/5/2019,2456.0,1,2456,1
ACCT6297,Maya Sherman,Y,9/28/2019,2261.0,1,2261,1
ACCT6297,Maya Sherman,Y,9/14/2019,2237.0,1,2237,1
ACCT6297,Maya Sherman,Y,4/9/2019,2116.0,1,2116,1
ACCT6297,Maya Sherman,Y,6/8/2019,2057.0,1,2057,1
ACCT6297,Maya Sherman,Y,3/12/2019,1974.0,1,1974,1
ACCT6297,Maya Sherman,Y,12/9/2019,1918.0,1,1918,1
ACCT6297,Maya Sherman,Y,5/18/2019,1911.0,1,1911,1
ACCT6297,Maya Sherman,Y,10/2/2019,1843.0,1,1843,1
ACCT6297,Maya Sherman,Y,3/4/2019,1575.0,1,1575,1
ACCT6297,Maya Sherman,Y,10/9/2019,1488.0,1,1488,1
ACCT6297,Maya Sherman,Y,5/27/2019,1468.0,1,1468,1
ACCT6297,Maya Sherman,Y,2/2/2019,1338.0,1,1338,1
ACCT6297,Maya Sherman,Y,9/27/2019,1304.0,1,1304,1
ACCT6297,Maya Sherman,Y,11/4/2019,1076.0,1,1076,1
ACCT6297,Maya Sherman,Y,11/23/2019,1071.0,1,1071,1
ACCT6297,Maya Sherman,Y,4/4/2019,1056.0,1,1056,1
ACCT6297,Maya Sherman,Y,4/12/2019,939.0,1,939,1
ACCT6297,Maya Sherman,Y,4/23/2019,919.0,1,919,1
ACCT6297,Maya Sherman,Y,4/1/2019,806.0,1,806,1
ACCT4851,Maddox Mahoney,Y,8/13/2019,706.25,4,2825,1
ACCT4851,Maddox Mahoney,Y,4/7/2019,694.75,4,2779,1
ACCT4851,Maddox Mahoney,Y,7/30/2019,693.5,4,2774,1
ACCT4851,Maddox Mahoney,Y,10/7/2019,677.25,4,2709,1
ACCT4851,Maddox Mahoney,Y,7/6/2019,674.75,4,2699,1
ACCT6470,Justice Oneill,Y,3/13/2019,613.75,8,4910,2
ACCT4851,Maddox Mahoney,Y,5/22/2019,610.25,4,2441,1
ACCT6297,Maya Sherman,Y,10/5/2019,600.0,1,600,1
ACCT4851,Maddox Mahoney,Y,8/6/2019,598.5,4,2394,1
ACCT6297,Maya Sherman,Y,8/2/2019,580.0,1,580,1
ACCT4471,Elle Cohen,Y,12/26/2019,552.75,8,4422,2
ACCT4851,Maddox Mahoney,Y,12/31/2019,527.0,4,2108,1
ACCT4851,Maddox Mahoney,Y,7/20/2019,507.75,4,2031,1
ACCT4471,Elle Cohen,Y,4/13/2019,499.625,8,3997,2
ACCT4851,Maddox Mahoney,Y,12/6/2019,497.0,4,1988,1
ACCT4851,Maddox Mahoney,Y,1/16/2019,494.5,4,1978,1
ACCT4851,Maddox Mahoney,Y,5/27/2019,481.25,4,1925,1
ACCT4851,Maddox Mahoney,Y,10/28/2019,478.5,4,1914,1
ACCT6470,Justice Oneill,Y,7/24/2019,466.875,8,3735,2
ACCT4851,Maddox Mahoney,Y,4/22/2019,449.75,4,1799,1
ACCT4851,Maddox Mahoney,Y,8/15/2019,449.75,4,1799,1
ACCT4471,Elle Cohen,Y,11/11/2019,448.25,8,3586,2
ACCT4851,Maddox Mahoney,Y,5/17/2019,412.25,4,1649,1
ACCT4851,Maddox Mahoney,Y,5/19/2019,407.25,4,1629,1
ACCT4851,Maddox Mahoney,Y,8/29/2019,396.75,4,1587,1
ACCT4851,Maddox Mahoney,Y,3/24/2019,390.25,4,1561,1
ACCT4471,Elle Cohen,Y,10/7/2019,372.875,8,2983,1
ACCT6470,Justice Oneill,Y,6/21/2019,370.0,8,2960,1
ACCT6470,Justice Oneill,Y,3/24/2019,367.125,8,2937,1
ACCT4471,Elle Cohen,Y,7/25/2019,364.375,8,2915,1
ACCT6470,Justice Oneill,Y,4/12/2019,363.625,8,2909,1
ACCT3867,Keenan Holloway,Y,9/14/2019,358.25,8,2866,1
ACCT6470,Justice Oneill,Y,1/27/2019,355.375,8,2843,1
ACCT4851,Maddox Mahoney,Y,8/9/2019,349.0,4,1396,1
ACCT4471,Elle Cohen,Y,4/30/2019,343.875,8,2751,1
ACCT3584,Quincy Townsend,Y,9/9/2019,341.27272727272725,11,3754,2
ACCT6470,Justice Oneill,Y,4/8/2019,340.25,8,2722,1
ACCT3867,Keenan Holloway,Y,4/16/2019,339.75,8,2718,1
ACCT3867,Keenan Holloway,Y,10/20/2019,338.5,8,2708,2
ACCT6470,Justice Oneill,Y,9/23/2019,335.875,8,2687,1
ACCT4851,Maddox Mahoney,Y,7/12/2019,333.0,4,1332,1
ACCT3867,Keenan Holloway,Y,11/4/2019,330.875,8,2647,1
ACCT6470,Justice Oneill,Y,2/8/2019,326.375,8,2611,1
ACCT6470,Justice Oneill,Y,7/29/2019,321.0,8,2568,1
ACCT4851,Maddox Mahoney,Y,12/18/2019,321.0,4,1284,1
ACCT3867,Keenan Holloway,Y,1/20/2019,320.25,8,2562,1
ACCT6470,Justice Oneill,Y,9/3/2019,317.125,8,2537,1
