transaction_ct,transaction_amt,t.sender_acct,a.acct_name,a.acct_annual_income,a.acct_src_of_income,a.acct_industry,a.acct_risk,t.transaction_date,t.send_country_risk,t.send_country_name,t.reciever_country_risk,t.reciever_country_name
1,4999630,ACCT2611,Landon Fischer,2694127,Business,Construction industry,High,7/7/2019,Low,Japan,High,Egypt
1,4999378,ACCT4466,Rogelio Stark,5765199,Business,Semiconductor industry,High,10/23/2019,Low,France,High,South Africa
1,4997749,ACCT7941,Corbin Atkins,5889536,Business,Financial services industry,High,6/18/2019,Low,Canada,High,Vietnam
1,4997259,ACCT5254,Joy Mcdonald,9931487,Business,Computer industry,High,6/30/2019,Low,Japan,High,Argentina
1,4996730,ACCT6758,Rigoberto Newman,1549567,Business,Aerospace industry,High,5/5/2019,Low,South Korea,High,Vietnam
1,4995521,ACCT2171,Rodolfo Nguyen,7416887,Business,Internet,High,2/5/2019,Low,Mexico,High,Bangladesh
1,4993977,ACCT2991,Caleb Calhoun,6434658,Business,Insurance industry,High,7/5/2019,Low,Mexico,High,Bangladesh
1,4992842,ACCT2735,Lincoln Hutchinson,6224510,Business,Automotive industry,High,2/23/2019,Low,South Korea,High,South Africa
1,4989653,ACCT3194,Isabell Mendoza,8505956,Business,Internet,High,8/14/2019,Low,United States,High,Philippines
1,4989054,ACCT6535,Zechariah Owens,4722727,Business,Publishing,High,8/25/2019,Low,United Kingdom,High,Iran
1,4989046,ACCT4492,Martha Farmer,8436193,Business,Aerospace industry,High,7/4/2019,Low,United Kingdom,High,South Africa
1,4988041,ACCT2518,Madalyn Huynh,1812329,Business,Energy industry,High,6/2/2019,Low,Canada,High,Nigeria
1,4987945,ACCT3301,Ace Owens,180378,Business,Tobacco industry,High,5/12/2019,Low,Italy,High,Colombia
1,4986981,ACCT2539,Kingston Bridges,7813831,Business,Electrical power industry,High,11/30/2019,Low,Mexico,High,Colombia
1,4986945,ACCT4993,Abbigail Carpenter,9313549,Business,Petroleum industry,High,2/4/2019,Low,Netherlands,High,Pakistan
1,4984541,ACCT7656,Karen Riley,4300126,Business,Energy industry,High,1/14/2019,Low,France,High,Vietnam
1,4984021,ACCT4181,Tyrell Figueroa,1068160,Business,Pharmaceutical industry,High,12/21/2019,Low,United States,High,Indonesia
1,4983352,ACCT2915,Pierce Leach,5400421,Business,Hospitality industry,High,10/24/2019,Low,Australia,High,Turkey
