transaction_ct,transaction_amt,t.sender_acct,recieving_acct_id,recieving_acct_name,recieving_acct_annual_income,recieving_acct_src_income,a.acct_industry,a.acct_risk,t.transaction_date,t.send_country_risk,t.send_country_name,t.reciever_country_risk,t.reciever_country_name
1,4999796,ACCT7805,ACCT2549,Emelia Vargas,2925403,Business,Tobacco industry,High,12/7/2019,High,Saudi Arabia,Low,France
1,4996296,ACCT4987,ACCT7459,Noah Nelson,1055387,Business,Internet,High,7/1/2019,High,Saudi Arabia,Low,Italy
1,4990599,ACCT4347,ACCT7354,Martha Merritt,1473722,Business,Computer industry,High,12/22/2019,High,Bangladesh,Low,Australia
1,4989837,ACCT3209,ACCT5431,Keshawn Randall,4706441,Business,Real estate industry,High,7/7/2019,High,Pakistan,Low,Japan
1,4986885,ACCT5516,ACCT4986,Abigail Moon,2480508,Business,Telecommunications industry,High,9/12/2019,High,South Africa,Low,Germany
1,4982953,ACCT6867,ACCT2645,Carly Page,544724,Business,Software industry,High,2/16/2019,High,Bangladesh,Low,Germany
1,4981561,ACCT4833,ACCT3946,Dania Moyer,1931245,Business,Semiconductor industry,High,1/5/2019,High,Iran,Low,South Korea
1,4979003,ACCT5336,ACCT5858,Angelique Beasley,2438459,Business,Sport industry,High,2/12/2019,High,Bangladesh,Low,United States
1,4977469,ACCT6516,ACCT6394,Oswaldo Davenport,2494226,Business,Food industry,High,8/23/2019,High,Philippines,Low,South Korea
1,4973091,ACCT2830,ACCT7697,Naomi Payne,2542330,Business,Software industry,High,12/13/2019,High,Colombia,Low,Italy
1,4971652,ACCT6165,ACCT6586,Franklin Braun,3414353,Business,Mining,High,5/1/2019,High,Colombia,Low,Italy
1,4970758,ACCT7536,ACCT5157,Eileen Brown,4278563,Business,Defense industry,High,1/16/2019,High,Nigeria,Low,Italy
1,4969512,ACCT5855,ACCT7270,Skylar French,275250,Business,Financial services industry,High,5/19/2019,High,Brazil,Low,United Kingdom
1,4966835,ACCT2932,ACCT3826,Brisa Swanson,3044573,Business,Telecommunications industry,High,10/4/2019,High,Egypt,Low,South Korea
1,4966735,ACCT5957,ACCT7986,Anastasia Cochran,356324,Business,Semiconductor industry,High,12/26/2019,High,Indonesia,Low,Germany
1,4966452,ACCT7878,ACCT6487,Roger Koch,4757532,Business,Automotive industry,High,5/8/2019,High,South Africa,Low,Japan
1,4966008,ACCT4989,ACCT6010,Demetrius Moyer,1701688,Business,Automotive industry,High,2/13/2019,High,Nigeria,Low,Italy
1,4964764,ACCT6047,ACCT6231,James Patterson,2930466,Business,Defense industry,High,3/3/2019,High,Turkey,Low,Netherlands
